dataset,sample,psnr,ssim,ssim_percent,hazy_path,gt_path
reside,0001_0.8_0.2,20.654146194458008,0.9170436859130859,91.7043685913086,archive\RESIDE-6K\test\hazy\0001_0.8_0.2.jpg,archive\RESIDE-6K\test\GT\0001_0.8_0.2.jpg
reside,0002_0.8_0.08,22.40268325805664,0.9287151098251343,92.87151098251343,archive\RESIDE-6K\test\hazy\0002_0.8_0.08.jpg,archive\RESIDE-6K\test\GT\0002_0.8_0.08.jpg
reside,0003_0.8_0.2,21.79041862487793,0.9459376335144043,94.59376335144043,archive\RESIDE-6K\test\hazy\0003_0.8_0.2.jpg,archive\RESIDE-6K\test\GT\0003_0.8_0.2.jpg
reside,0004_0.9_0.12,26.172611236572266,0.9638336300849915,96.38336300849915,archive\RESIDE-6K\test\hazy\0004_0.9_0.12.jpg,archive\RESIDE-6K\test\GT\0004_0.9_0.12.jpg
reside,0006_0.85_0.08,23.630294799804688,0.9221068024635315,92.21068024635315,archive\RESIDE-6K\test\hazy\0006_0.85_0.08.jpg,archive\RESIDE-6K\test\GT\0006_0.85_0.08.jpg
reside,0007_0.9_0.16,17.914724349975586,0.8687697649002075,86.87697649002075,archive\RESIDE-6K\test\hazy\0007_0.9_0.16.jpg,archive\RESIDE-6K\test\GT\0007_0.9_0.16.jpg
reside,0009_0.8_0.16,20.195444107055664,0.876343309879303,87.6343309879303,archive\RESIDE-6K\test\hazy\0009_0.8_0.16.jpg,archive\RESIDE-6K\test\GT\0009_0.8_0.16.jpg
reside,0010_0.95_0.16,13.589571952819824,0.7144176959991455,71.44176959991455,archive\RESIDE-6K\test\hazy\0010_0.95_0.16.jpg,archive\RESIDE-6K\test\GT\0010_0.95_0.16.jpg
reside,0011_0.95_0.16,15.276154518127441,0.7249611020088196,72.49611020088196,archive\RESIDE-6K\test\hazy\0011_0.95_0.16.jpg,archive\RESIDE-6K\test\GT\0011_0.95_0.16.jpg
reside,0014_0.8_0.12,21.88778305053711,0.9393574595451355,93.93574595451355,archive\RESIDE-6K\test\hazy\0014_0.8_0.12.jpg,archive\RESIDE-6K\test\GT\0014_0.8_0.12.jpg
reside,0016_0.8_0.08,23.359378814697266,0.9476278424263,94.76278424263,archive\RESIDE-6K\test\hazy\0016_0.8_0.08.jpg,archive\RESIDE-6K\test\GT\0016_0.8_0.08.jpg
reside,0017_0.9_0.08,20.014131546020508,0.8439903259277344,84.39903259277344,archive\RESIDE-6K\test\hazy\0017_0.9_0.08.jpg,archive\RESIDE-6K\test\GT\0017_0.9_0.08.jpg
ohaze,01_outdoor,15.10794734954834,0.6757242679595947,67.57242679595947,o-haze\O-HAZY\hazy\01_outdoor.jpg,o-haze\O-HAZY\GT\01_outdoor.jpg
ohaze,02_outdoor,17.534730911254883,0.7098562717437744,70.98562717437744,o-haze\O-HAZY\hazy\02_outdoor.jpg,o-haze\O-HAZY\GT\02_outdoor.jpg
ohaze,03_outdoor,22.21939468383789,0.7894940376281738,78.94940376281738,o-haze\O-HAZY\hazy\03_outdoor.JPG,o-haze\O-HAZY\GT\03_outdoor.JPG
ohaze,04_outdoor,14.544214248657227,0.6378272771835327,63.78272771835327,o-haze\O-HAZY\hazy\04_outdoor.jpg,o-haze\O-HAZY\GT\04_outdoor.jpg
ohaze,05_outdoor,17.559541702270508,0.5552875399589539,55.528753995895386,o-haze\O-HAZY\hazy\05_outdoor.jpg,o-haze\O-HAZY\GT\05_outdoor.jpg
ohaze,06_outdoor,18.0168514251709,0.6013796925544739,60.13796925544739,o-haze\O-HAZY\hazy\06_outdoor.jpg,o-haze\O-HAZY\GT\06_outdoor.jpg
ohaze,07_outdoor,22.87134552001953,0.7679953575134277,76.79953575134277,o-haze\O-HAZY\hazy\07_outdoor.jpg,o-haze\O-HAZY\GT\07_outdoor.jpg
ohaze,08_outdoor,13.89995002746582,0.4722096621990204,47.22096621990204,o-haze\O-HAZY\hazy\08_outdoor.jpg,o-haze\O-HAZY\GT\08_outdoor.jpg
ohaze,09_outdoor,17.336694717407227,0.4687284827232361,46.87284827232361,o-haze\O-HAZY\hazy\09_outdoor.jpg,o-haze\O-HAZY\GT\09_outdoor.jpg
ohaze,10_outdoor,15.052689552307129,0.6847302913665771,68.47302913665771,o-haze\O-HAZY\hazy\10_outdoor.jpg,o-haze\O-HAZY\GT\10_outdoor.jpg
ohaze,11_outdoor,13.890148162841797,0.6031650900840759,60.31650900840759,o-haze\O-HAZY\hazy\11_outdoor.jpg,o-haze\O-HAZY\GT\11_outdoor.jpg
ohaze,12_outdoor,19.021018981933594,0.688818097114563,68.8818097114563,o-haze\O-HAZY\hazy\12_outdoor.jpg,o-haze\O-HAZY\GT\12_outdoor.jpg
